submit_time,task,user,score,status
2017-02-04 22:50:00+0900,A - Addition,Swistakk,0,WA
2017-02-04 22:50:00+0900,C - Cleaning,tloinuy,0,WA
2017-02-04 22:49:59+0900,C - Cleaning,Cerberus97,0,WA
2017-02-04 22:49:59+0900,B - Boxes,infer496,0,WA
2017-02-04 22:49:57+0900,B - Boxes,sean617,0,WA
2017-02-04 22:49:57+0900,C - Cleaning,pillow97,0,WA
2017-02-04 22:49:57+0900,D - Decrementing,hamidreza,0,WA
2017-02-04 22:49:57+0900,D - Decrementing,Luzhiled,0,WA
2017-02-04 22:49:57+0900,B - Boxes,C137,0,WA
2017-02-04 22:49:55+0900,B - Boxes,Zharaskhan,0,WA
2017-02-04 22:49:55+0900,C - Cleaning,balakrishnan_v,0,WA
2017-02-04 22:49:55+0900,B - Boxes,chaojidage,0,WA
2017-02-04 22:49:55+0900,C - Cleaning,ei13333,0,WA
2017-02-04 22:49:54+0900,F - Tree Game,zscoder,0,WA
2017-02-04 22:49:53+0900,E - Rearranging,alex20030190,0,WA
2017-02-04 22:49:53+0900,D - Decrementing,natsugiri,0,WA
2017-02-04 22:49:53+0900,B - Boxes,iroha168,0,WA
2017-02-04 22:49:52+0900,B - Boxes,mino,0,WA
2017-02-04 22:49:52+0900,D - Decrementing,btk15049,0,WA
2017-02-04 22:49:51+0900,C - Cleaning,ichyo,0,WA
2017-02-04 22:49:51+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:51+0900,D - Decrementing,kcm1700,0,WA
2017-02-04 22:49:50+0900,C - Cleaning,NurlashKO,0,CE
2017-02-04 22:49:49+0900,B - Boxes,toxzi,0,WA
2017-02-04 22:49:48+0900,C - Cleaning,ei13333,0,WA
2017-02-04 22:49:48+0900,B - Boxes,walkre,0,WA
2017-02-04 22:49:47+0900,C - Cleaning,gasin,0,WA
2017-02-04 22:49:46+0900,D - Decrementing,amano,0,WA
2017-02-04 22:49:45+0900,E - Rearranging,nhho,0,WA
2017-02-04 22:49:45+0900,B - Boxes,tanruidd,0,WA
2017-02-04 22:49:44+0900,B - Boxes,yokozuna57,0,WA
2017-02-04 22:49:44+0900,D - Decrementing,hiro116s,0,WA
2017-02-04 22:49:43+0900,C - Cleaning,horcrux,0,WA
2017-02-04 22:49:43+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:42+0900,C - Cleaning,tosaka2,0,WA
2017-02-04 22:49:42+0900,B - Boxes,rayhan50001,0,WA
2017-02-04 22:49:41+0900,B - Boxes,norma,0,WA
2017-02-04 22:49:41+0900,B - Boxes,ccw630,0,WA
2017-02-04 22:49:40+0900,D - Decrementing,camypaper,0,WA
2017-02-04 22:49:40+0900,C - Cleaning,mikecat,0,WA
2017-02-04 22:49:39+0900,B - Boxes,pavelsavchenkov,0,WA
2017-02-04 22:49:39+0900,B - Boxes,bomac1,0,CE
2017-02-04 22:49:38+0900,B - Boxes,RMQ,0,WA
2017-02-04 22:49:38+0900,B - Boxes,zstu_jack,500,AC
2017-02-04 22:49:38+0900,B - Boxes,lizishu,0,WA
2017-02-04 22:49:37+0900,B - Boxes,nasatame,0,CE
2017-02-04 22:49:37+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:37+0900,C - Cleaning,ptrs,0,WA
2017-02-04 22:49:35+0900,D - Decrementing,khsoo01,0,WA
2017-02-04 22:49:35+0900,B - Boxes,shomu36,0,TLE
2017-02-04 22:49:34+0900,B - Boxes,walkre,0,WA
2017-02-04 22:49:34+0900,B - Boxes,fushime2,0,CE
2017-02-04 22:49:34+0900,A - Addition,iroha168,0,WA
2017-02-04 22:49:34+0900,B - Boxes,maze1230,500,AC
2017-02-04 22:49:34+0900,C - Cleaning,rabot,700,AC
2017-02-04 22:49:33+0900,C - Cleaning,ei13333,0,WA
2017-02-04 22:49:33+0900,B - Boxes,mondatto,0,WA
2017-02-04 22:49:33+0900,C - Cleaning,satanic0258,0,WA
2017-02-04 22:49:33+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:33+0900,B - Boxes,ShinjiSHIBATA,0,WA
2017-02-04 22:49:32+0900,F - Tree Game,zscoder,0,WA
2017-02-04 22:49:32+0900,D - Decrementing,Morass,0,WA
2017-02-04 22:49:31+0900,B - Boxes,C137,0,CE
2017-02-04 22:49:31+0900,C - Cleaning,pillow97,0,CE
2017-02-04 22:49:30+0900,B - Boxes,tanutarou,0,WA
2017-02-04 22:49:30+0900,C - Cleaning,funcsr,0,WA
2017-02-04 22:49:30+0900,B - Boxes,yamaimo,0,WA
2017-02-04 22:49:29+0900,C - Cleaning,sumoooru,0,WA
2017-02-04 22:49:29+0900,B - Boxes,ajinori,0,WA
2017-02-04 22:49:28+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:27+0900,A - Addition,crispy,300,AC
2017-02-04 22:49:27+0900,D - Decrementing,saidat,0,CE
2017-02-04 22:49:27+0900,C - Cleaning,pwypeanut,0,WA
2017-02-04 22:49:25+0900,C - Cleaning,Hec,0,WA
2017-02-04 22:49:24+0900,D - Decrementing,reew2n,0,WA
2017-02-04 22:49:23+0900,B - Boxes,kawabys,0,WA
2017-02-04 22:49:23+0900,B - Boxes,haji,0,WA
2017-02-04 22:49:21+0900,E - Rearranging,nhho,0,WA
2017-02-04 22:49:21+0900,B - Boxes,tah,0,WA
2017-02-04 22:49:19+0900,D - Decrementing,GGOSinon,0,WA
2017-02-04 22:49:16+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:15+0900,B - Boxes,hamayanhamayan,500,AC
2017-02-04 22:49:15+0900,C - Cleaning,kosakkun,0,WA
2017-02-04 22:49:14+0900,C - Cleaning,choda310,0,CE
2017-02-04 22:49:14+0900,C - Cleaning,TakaakiUmedu,0,WA
2017-02-04 22:49:14+0900,D - Decrementing,Whalanator,0,WA
2017-02-04 22:49:13+0900,B - Boxes,Gear,0,WA
2017-02-04 22:49:13+0900,C - Cleaning,RUSH_D_CAT,0,WA
2017-02-04 22:49:13+0900,B - Boxes,aiyo,0,WA
2017-02-04 22:49:12+0900,D - Decrementing,dragonic,0,TLE
2017-02-04 22:49:12+0900,B - Boxes,p1p13,0,WA
2017-02-04 22:49:11+0900,B - Boxes,nebukuro09,0,WA
2017-02-04 22:49:11+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:11+0900,C - Cleaning,kzyKT,0,WA
2017-02-04 22:49:11+0900,B - Boxes,teamhimeH,0,WA
2017-02-04 22:49:11+0900,D - Decrementing,camypaper,0,WA
2017-02-04 22:49:08+0900,C - Cleaning,ei13333,0,WA
2017-02-04 22:49:07+0900,E - Rearranging,Petr,0,RE
2017-02-04 22:49:07+0900,D - Decrementing,eli,0,WA
2017-02-04 22:49:06+0900,A - Addition,kawabys,0,WA
2017-02-04 22:49:06+0900,C - Cleaning,hiromi_ayase,0,WA
2017-02-04 22:49:06+0900,B - Boxes,creatorstree,0,TLE
2017-02-04 22:49:05+0900,D - Decrementing,ctyl,0,WA
2017-02-04 22:49:04+0900,D - Decrementing,FF256grhy,0,WA
2017-02-04 22:49:01+0900,B - Boxes,damekamo,0,WA
2017-02-04 22:49:01+0900,D - Decrementing,kiki33,0,WA
2017-02-04 22:49:01+0900,D - Decrementing,kmjp,0,WA
2017-02-04 22:48:58+0900,B - Boxes,raowj,0,TLE
2017-02-04 22:48:58+0900,B - Boxes,kamelong,500,AC
2017-02-04 22:48:54+0900,C - Cleaning,nadare881,0,WA
2017-02-04 22:48:53+0900,D - Decrementing,camypaper,0,WA
2017-02-04 22:48:52+0900,C - Cleaning,qwertier,700,AC
2017-02-04 22:48:52+0900,A - Addition,Timo_W5,0,RE
2017-02-04 22:48:52+0900,C - Cleaning,dj3500,0,WA
2017-02-04 22:48:50+0900,C - Cleaning,ei13333,0,CE
2017-02-04 22:48:49+0900,B - Boxes,kamituka,0,MLE
2017-02-04 22:48:49+0900,D - Decrementing,microtony,0,WA
2017-02-04 22:48:48+0900,A - Addition,currypanman,0,WA
2017-02-04 22:48:48+0900,C - Cleaning,pillow97,0,WA
2017-02-04 22:48:45+0900,D - Decrementing,ZhNV,0,WA
2017-02-04 22:48:44+0900,B - Boxes,aler_gg,0,WA
2017-02-04 22:48:44+0900,B - Boxes,obsproth,0,TLE
2017-02-04 22:48:43+0900,B - Boxes,ak464tnok,0,WA
2017-02-04 22:48:43+0900,C - Cleaning,ichyo,0,WA
2017-02-04 22:48:42+0900,B - Boxes,mmxsrup,0,WA
2017-02-04 22:48:42+0900,B - Boxes,lizishu,0,WA
2017-02-04 22:48:39+0900,C - Cleaning,kazunetakahashi,0,WA
2017-02-04 22:48:37+0900,C - Cleaning,sumoooru,0,WA
2017-02-04 22:48:36+0900,B - Boxes,Mustang,0,WA
2017-02-04 22:48:35+0900,C - Cleaning,imang,700,AC
