submit_time,task,user,score,status
2020-06-07 23:30:00+0900,A - Xor Battle,yamapan2020,0,RE
2020-06-07 23:30:00+0900,C - Range Set,mechanicalpenciI,0,WA
2020-06-07 23:29:59+0900,A - Xor Battle,shubham__36,400,AC
2020-06-07 23:29:59+0900,A - Xor Battle,PowderSnow,0,TLE
2020-06-07 23:29:59+0900,A - Xor Battle,Eldora,0,WA
2020-06-07 23:29:58+0900,B - 01 Unbalanced,spica314,0,TLE
2020-06-07 23:29:58+0900,A - Xor Battle,abx,0,WA
2020-06-07 23:29:58+0900,B - 01 Unbalanced,nohtaray,0,TLE
2020-06-07 23:29:58+0900,A - Xor Battle,ecto0310,0,WA
2020-06-07 23:29:57+0900,C - Range Set,Hoi_koro,0,RE
2020-06-07 23:29:57+0900,B - 01 Unbalanced,philosophy,0,WA
2020-06-07 23:29:57+0900,B - 01 Unbalanced,Karoshu,0,CE
2020-06-07 23:29:55+0900,A - Xor Battle,sjc061031,0,WA
2020-06-07 23:29:55+0900,F - Division into Multiples,ksun48,0,WA
2020-06-07 23:29:55+0900,A - Xor Battle,StrayLearner,0,WA
2020-06-07 23:29:55+0900,C - Range Set,startcpp,0,TLE
2020-06-07 23:29:54+0900,B - 01 Unbalanced,risujiroh,0,WA
2020-06-07 23:29:54+0900,C - Range Set,eiya,0,CE
2020-06-07 23:29:54+0900,A - Xor Battle,vzvu3k6k,0,WA
2020-06-07 23:29:54+0900,C - Range Set,Lucina,0,WA
2020-06-07 23:29:53+0900,A - Xor Battle,jarbaugh,0,TLE
2020-06-07 23:29:53+0900,A - Xor Battle,rstoick,400,AC
2020-06-07 23:29:52+0900,B - 01 Unbalanced,patrikpavic2,0,TLE
2020-06-07 23:29:52+0900,A - Xor Battle,l0rzl,0,TLE
2020-06-07 23:29:51+0900,A - Xor Battle,nuts,0,WA
2020-06-07 23:29:50+0900,A - Xor Battle,patahene,0,WA
2020-06-07 23:29:50+0900,B - 01 Unbalanced,Kewth,0,WA
2020-06-07 23:29:50+0900,C - Range Set,risujiroh,0,WA
2020-06-07 23:29:49+0900,A - Xor Battle,miku,0,WA
2020-06-07 23:29:49+0900,A - Xor Battle,kimonohanger,0,WA
2020-06-07 23:29:48+0900,A - Xor Battle,y61mpnl,0,RE
2020-06-07 23:29:48+0900,A - Xor Battle,MasakiAOTA,0,WA
2020-06-07 23:29:48+0900,A - Xor Battle,pensuke,0,WA
2020-06-07 23:29:47+0900,A - Xor Battle,vocatetsu,0,WA
2020-06-07 23:29:46+0900,D - Lamps and Buttons,yutaka1999,0,WA
2020-06-07 23:29:46+0900,A - Xor Battle,IShun,0,WA
2020-06-07 23:29:45+0900,A - Xor Battle,masa_aa,0,RE
2020-06-07 23:29:45+0900,B - 01 Unbalanced,noimi,0,WA
2020-06-07 23:29:44+0900,A - Xor Battle,narirei,0,WA
2020-06-07 23:29:42+0900,B - 01 Unbalanced,sas4eka,0,TLE
2020-06-07 23:29:41+0900,B - 01 Unbalanced,patrikpavic2,0,TLE
2020-06-07 23:29:40+0900,A - Xor Battle,TadijaSebez,0,WA
2020-06-07 23:29:39+0900,B - 01 Unbalanced,dusty0,0,WA
2020-06-07 23:29:39+0900,B - 01 Unbalanced,nuip,0,TLE
2020-06-07 23:29:39+0900,E - Fragile Balls,EliteWantsYou,0,WA
2020-06-07 23:29:39+0900,A - Xor Battle,new1208,0,WA
2020-06-07 23:29:38+0900,C - Range Set,maspy,0,RE
2020-06-07 23:29:38+0900,B - 01 Unbalanced,kazumaokawa,0,WA
2020-06-07 23:29:36+0900,A - Xor Battle,piddy,0,WA
2020-06-07 23:29:36+0900,A - Xor Battle,riku_tanide,0,WA
2020-06-07 23:29:35+0900,B - 01 Unbalanced,dnim,0,TLE
2020-06-07 23:29:35+0900,B - 01 Unbalanced,CY_WIN_IOI_GOLD,0,WA
2020-06-07 23:29:34+0900,A - Xor Battle,Arbuzniy_kekich,400,AC
2020-06-07 23:29:34+0900,B - 01 Unbalanced,fizzydavid,800,AC
2020-06-07 23:29:34+0900,A - Xor Battle,rstoick,0,WA
